time,foot
0.2153666,Right,
0.8655701,Left,
1.481729,Right,
2.133725,Left,
2.753436,Right,
3.390666,Left,
3.980708,Right,
4.606764,Left,
5.151949,Right,
5.728536,Left,
6.346318,Right,
6.917421,Left,
7.495538,Right,
8.107551,Left,
8.684184,Right,
9.268373,Left,
9.873604,Right,
10.46622,Left,
11.07196,Right,
11.70585,Left,
12.2983,Right,
12.93151,Left,
13.51243,Right,
14.07258,Left,
14.68041,Right,
15.2359,Left,
15.82836,Right,
16.39503,Left,
16.96774,Right,
17.50998,Left,
18.06149,Right,
18.62439,Left,
19.25256,Right,
19.84581,Left,
20.50543,Right,
21.05023,Left,
21.70814,Right,
22.33078,Left,
22.95185,Right,
23.5821,Left,
24.18996,Right,
24.78397,Left,
25.41503,Right,
26.04631,Left,
26.64597,Right,
27.24623,Left,
27.83221,Right,
28.44883,Left,
29.03316,Right,
29.61545,Left,
30.21097,Right,
30.83995,Left,
31.42617,Right,
32.09503,Left,
32.65907,Right,
33.26145,Left,
33.82816,Right,
34.45197,Left,
35.04051,Right,
35.673,Left,
36.27126,Right,
36.86454,Left,
37.43112,Right,
37.99942,Left,
38.58809,Right,
39.20641,Right,
39.3869,Right,
39.78778,Right,
40.3446,Left,
41.45335,Left,
42.5948,Left,
45.3978,Right,
45.89672,Left,
46.37831,Right,
46.91083,Left,
47.4742,Right,
48.01672,Left,
48.62212,Right,
49.21593,Left,
49.73508,Right,
50.37103,Left,
50.92812,Right,
51.5038,Left,
52.078,Right,
52.60915,Left,
53.19595,Right,
53.78387,Left,
54.33413,Right,
54.88192,Left,
55.43678,Right,
56.02031,Left,
56.58622,Right,
57.12224,Left,
57.67178,Right,
58.22507,Left,
58.77869,Right,
59.33458,Left,
59.84451,Right,
60.39245,Left,
60.94775,Right,
61.46914,Left,
62.00516,Right,
62.53526,Left,
63.07807,Right,
63.63062,Left,

time,foot
1.195328,Right,
2.736708,Left,
6.033169,Right,
6.279942,Left,
6.521502,Right,
6.746445,Left,
6.963568,Right,
7.24502,Left,
7.438815,Right,
7.734437,Left,
7.971295,Right,
8.246099,Left,
8.496803,Right,
8.769922,Left,
8.977086,Right,
9.252861,Left,
9.544405,Right,
9.804976,Left,
10.07223,Right,
10.41201,Left,
10.68742,Right,
10.96348,Left,
11.25086,Right,
11.51476,Left,
11.77178,Right,
12.03946,Left,
12.24147,Right,
12.41328,Left,
12.55727,Right,
12.73061,Left,
12.87155,Right,
13.03778,Left,
13.17639,Right,
13.31104,Left,
13.446,Right,
13.58724,Left,
13.72554,Right,
13.87003,Left,
13.97539,Right,
14.11386,Left,
14.22354,Right,
14.3319,Left,
14.40665,Right,
14.55162,Left,
14.66349,Right,
14.88715,Right,
15.09908,Right,
15.24122,Left,
15.30842,Right,
15.44347,Left,
15.54916,Right,
15.6577,Left,
15.7625,Right,
15.94289,Left,
16.05309,Right,
16.15961,Left,
16.28469,Right,
16.38547,Left,
16.53306,Right,
16.64323,Left,
16.75577,Right,
16.94139,Left,
17.01766,Right,
17.17748,Left,
17.29748,Right,
