
time,foot
7.339724,Right,
7.885725,Left,
8.382774,Right,

time,foot

time,foot
0,Left,
0.606374,Right,
1.55216,Left,
2.660804,Right,
3.617824,Left,
4.392303,Right,
5.281123,Left,
6.176293,Right,
6.856293,Left,
7.464334,Right,
8.010557,Left,
8.554272,Right,
9.252463,Left,
9.97521,Right,
16.101,Left,
16.90586,Right,
17.76872,Left,
18.62174,Right,
19.63283,Left,
20.19643,Right,
20.57098,Left,
21.07241,Right,
21.62873,Left,
22.05413,Right,
22.48054,Left,
22.92368,Right,
23.26576,Left,
23.74715,Right,
24.24203,Left,
24.80377,Right,
25.49709,Left,
25.95323,Right,
26.53905,Left,
27.06103,Right,
27.5985,Left,
28.23214,Right,
28.55727,Left,
29.02999,Right,
29.37287,Left,
29.69062,Right,
29.95076,Left,
30.25674,Right,
30.50237,Left,
30.75483,Right,
31.02735,Left,
31.30716,Right,
31.60772,Left,
31.90145,Right,
32.1632,Left,
32.40794,Right,
32.70839,Left,
33.05835,Right,
33.35319,Left,
33.62696,Right,
33.91174,Left,
34.29202,Right,
34.57748,Left,
34.79714,Right,
35.09858,Left,
35.39136,Right,
35.67636,Left,
35.9239,Right,
36.28452,Left,
36.56907,Right,
36.84118,Left,
37.12687,Right,
37.42918,Left,
37.71872,Right,
38.04464,Left,
38.31091,Right,
38.63771,Left,
38.91407,Right,
39.2295,Left,
39.48041,Right,
39.76258,Left,
40.06694,Right,
40.3961,Left,
40.66909,Right,
40.97774,Left,
41.26764,Right,
41.61744,Left,
42.08365,Right,
42.58201,Left,
43.14767,Right,
43.68146,Left,
44.1942,Right,
44.72697,Left,
45.23034,Right,
45.73678,Left,
46.2816,Right,
46.72642,Left,
47.3138,Right,
47.81583,Left,
48.38644,Right,
48.90893,Left,
49.49106,Right,
49.9495,Left,
50.6405,Right,
51.10962,Left,
51.70389,Right,
52.2466,Left,
52.75633,Right,
53.20668,Left,
53.75954,Right,
54.43731,Left,
54.93142,Right,
55.20346,Left,

time,foot
0,Right,
0.5192059,Left,
0.9120169,Right,
1.488281,Left,
1.95717,Right,
2.501467,Left,
3.004601,Right,
3.536706,Left,
4.055014,Right,
4.660623,Left,
5.232868,Right,
5.754103,Left,
6.31708,Right,
6.887355,Left,
7.408854,Right,
7.915822,Left,
8.462319,Right,
9.021214,Left,
9.576903,Right,
10.11301,Left,
10.69669,Right,
11.22814,Left,
11.74099,Right,
12.27936,Left,
12.74127,Right,
13.25656,Left,
13.71881,Right,
14.29911,Left,
14.77186,Right,
15.92628,Left,
16.32088,Right,
16.7963,Left,
17.1642,Right,
17.84093,Left,
18.19563,Right,
22.47969,Left,
29.22186,Right,
29.47064,Left,
29.67472,Right,
29.82645,Left,
29.96197,Right,
30.13124,Left,
30.28851,Right,
30.37802,Left,
30.45355,Right,
30.55363,Left,
30.62168,Right,
30.68224,Left,
30.77548,Right,
30.83569,Left,
30.88464,Right,
31.0359,Left,
31.10376,Right,
31.15993,Left,
31.29217,Right,
31.35994,Left,
31.48621,Right,
31.55848,Left,
31.65386,Right,
31.75448,Left,
31.81838,Right,
31.93149,Left,
32.01848,Right,
32.1064,Left,
32.19025,Right,
32.28755,Left,
32.40336,Right,
32.45417,Left,
32.5659,Right,
32.64171,Left,
32.76374,Right,
32.84861,Left,
32.95135,Right,
33.04251,Left,
33.15231,Right,
33.24975,Left,
33.34182,Right,
33.45327,Left,
33.52514,Right,
33.64155,Left,
33.75451,Right,
33.85093,Left,
33.9694,Right,
34.0927,Left,
34.18054,Right,
34.27679,Left,
34.37535,Right,
34.48262,Left,
34.60515,Right,
34.70534,Left,
34.80226,Right,
35.05518,Left,
35.18037,Right,
35.28393,Left,
35.40384,Right,
35.50993,Left,
35.66957,Right,
35.72285,Left,
35.83939,Right,
35.96204,Left,
36.04725,Right,
36.14868,Left,
36.25906,Right,
36.33948,Left,
36.45842,Right,
36.55833,Left,
36.66281,Right,
36.76322,Left,
36.90477,Right,
36.99574,Left,
37.09101,Right,
37.21883,Left,
37.33875,Right,
37.47186,Left,
37.53988,Right,
37.6526,Left,
37.76065,Right,
37.85823,Left,
37.97852,Right,
38.06537,Left,
38.20152,Right,
38.31706,Left,
38.40097,Right,
38.51121,Left,
38.63363,Right,
38.71732,Left,
38.85601,Right,
39.13763,Left,
39.25021,Right,
39.33237,Left,
39.43484,Right,
39.51906,Left,
39.66589,Right,
40.63827,Left,
41.22275,Right,
43.18106,Left,

time,foot
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0.06073529,Right,
0.1290396,Left,
0.278858,Right,
0.4878876,Left,
0.4878876,Right,
0.6530549,Left,
0.7837076,Right,
0.8914877,Left,
0.993412,Right,
1.079056,Left,
1.185943,Right,
1.271814,Left,
1.400135,Right,
1.479456,Left,
1.608741,Right,
1.695102,Left,
1.82573,Right,
1.904049,Left,
2.017966,Right,
2.112095,Left,
2.249554,Right,
2.314761,Left,
2.44213,Right,
2.54892,Left,
2.664849,Right,
2.742905,Left,
2.859498,Right,
2.93868,Left,
3.081968,Right,
3.161532,Left,
3.275829,Right,
3.385025,Left,
3.498359,Right,
3.592885,Left,
3.737661,Right,
3.81463,Left,
3.942615,Right,
4.043311,Left,
4.156024,Right,
4.265141,Left,
4.382398,Right,
4.476868,Left,
4.613919,Right,
4.71021,Left,
4.815065,Right,
4.925487,Left,
5.051703,Right,
5.14124,Left,
5.24198,Right,
5.363643,Left,
5.477531,Right,
5.580628,Left,
5.673155,Right,
5.778028,Left,
5.902743,Right,
6.003349,Left,
6.122129,Right,
6.236816,Left,
6.334153,Right,
6.453567,Left,
6.551975,Right,
6.667438,Left,
6.783779,Right,
6.873624,Left,
6.984222,Right,
7.0867,Left,
7.184333,Right,
7.280149,Left,
7.39965,Right,
7.492483,Left,
7.599581,Right,
7.685972,Left,
7.814906,Right,
7.919044,Left,
8.032012,Right,
8.139871,Left,
8.254695,Right,
8.357207,Left,
8.465514,Right,
8.679996,Left,
8.769533,Right,
8.89769,Left,
8.976303,Right,
9.383039,Left,
9.489101,Right,
9.602051,Left,
9.700586,Right,
9.851928,Left,
9.940896,Right,
10.05416,Left,
10.19664,Right,
10.30201,Left,
10.43124,Right,
10.51817,Left,
10.60872,Right,
10.73674,Left,
10.84533,Right,
10.96101,Left,
11.05935,Right,
11.20835,Left,
11.31573,Right,
11.41549,Left,
11.56111,Right,
11.71226,Left,
11.80331,Right,
11.90753,Left,
12.02761,Right,
12.14285,Left,
12.28437,Right,
12.42707,Left,
12.53424,Right,
12.63192,Left,
12.7629,Right,
12.86025,Left,
13.00725,Right,
13.10625,Left,
13.26049,Right,
13.36138,Left,
13.51008,Right,
13.61846,Left,
13.75126,Right,
13.8599,Left,
13.98289,Right,
14.37521,Left,
14.47563,Right,
14.59547,Left,
14.68185,Right,
14.91305,Left,
14.95401,Right,
15.08983,Left,
15.18818,Right,
15.33472,Left,
15.41339,Right,
15.56111,Left,
15.67735,Right,
15.83098,Left,
15.91553,Right,
16.30258,Left,
16.43382,Right,
16.52829,Left,
16.63128,Right,
16.74314,Left,
16.87644,Right,
17.01793,Left,
17.1275,Right,
17.25105,Left,
17.35726,Right,
17.48743,Left,
17.61664,Right,
17.76286,Left,
17.85977,Right,
17.97904,Left,
18.12663,Right,
18.21771,Left,
18.32175,Right,
18.45688,Left,
18.55453,Right,
18.67682,Left,
18.7921,Right,
18.93112,Left,
19.0798,Right,
19.20067,Left,
19.35332,Right,
19.47516,Left,
19.60325,Right,
19.73198,Left,
19.86594,Right,
19.99399,Left,
20.13153,Right,
20.27319,Left,
20.31619,Right,
22.06444,Left,
23.26267,Right,
28.75535,Left,

time,foot
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0,Right,
0,Left,
0.5657953,Right,
0.9688477,Left,
1.363094,Right,
1.590255,Left,
1.73771,Right,
1.823519,Left,
1.930271,Right,
2.056843,Left,
2.161323,Right,
2.279245,Left,
2.373729,Right,
2.46888,Left,
2.566834,Right,
2.655061,Left,
2.771592,Right,
2.85388,Left,
2.945571,Right,
3.013206,Left,
3.140024,Right,
3.208326,Left,
3.317474,Right,
3.396135,Left,
3.477502,Right,
3.589159,Left,
3.694093,Right,
3.805779,Left,
3.925324,Right,
4.010369,Left,
4.141499,Right,
4.228132,Left,
4.355331,Right,
4.428294,Left,
4.560402,Right,
4.656058,Left,
4.762431,Right,
4.877104,Left,
4.97611,Right,
5.127827,Left,
5.212923,Right,
5.348687,Left,
5.465281,Right,
5.586351,Left,
5.688782,Right,
5.807671,Left,
5.952677,Right,
6.02341,Left,
6.15929,Right,
6.288214,Left,
6.400263,Right,
6.488456,Left,
6.623949,Right,
6.741263,Left,
6.878273,Right,
7.24391,Left,
7.416435,Right,
7.454401,Left,
7.613316,Right,
7.703228,Left,
7.83994,Right,
7.925013,Left,
8.028035,Right,
8.202578,Left,
8.28603,Right,
8.386888,Left,
8.500644,Right,
8.643424,Left,
8.73612,Right,
8.87186,Left,
8.968925,Right,
9.077135,Left,
9.218264,Right,
9.349438,Left,
9.491105,Right,
9.587457,Left,
9.719299,Right,
9.845667,Left,
9.959097,Right,
10.08169,Left,
10.20878,Right,
10.35547,Left,
10.456,Right,
10.57274,Left,
10.68305,Right,
10.82189,Left,
10.9202,Right,
11.05898,Left,
11.18306,Right,
11.36241,Left,
11.42926,Right,
11.58128,Left,
11.6857,Right,
11.8194,Left,
11.93608,Right,
12.07763,Left,
12.18929,Right,
12.30573,Left,
12.44112,Right,
12.56934,Left,
12.67181,Right,
12.80276,Left,
12.94185,Right,
13.0651,Left,
13.18725,Right,
13.33167,Left,
13.43672,Right,
13.56081,Left,
13.69839,Right,
13.81663,Left,
13.98038,Right,
14.10271,Left,
14.20025,Right,
14.35842,Left,
14.44543,Right,
14.59354,Left,
14.71061,Right,
14.85913,Left,
14.96589,Right,
15.10473,Left,
15.21457,Right,
15.34632,Left,
15.45029,Right,
15.63803,Left,
15.70533,Right,
15.85325,Left,
15.98307,Right,
16.13839,Left,
16.26245,Right,
16.66735,Left,
16.7627,Right,
16.89167,Left,
17.05093,Right,
17.15988,Left,
17.30378,Right,
17.4262,Left,
17.53503,Right,
17.67089,Left,
17.81937,Right,
17.9022,Left,
18.03654,Right,
18.17924,Left,
18.28536,Right,
18.40517,Left,
18.5525,Right,
18.68107,Left,
18.8292,Right,
18.93539,Left,
19.03844,Right,
19.19909,Left,
19.30402,Right,
19.43315,Left,
19.59175,Right,
19.69633,Left,
19.84409,Right,
19.94751,Left,
20.13593,Right,
20.22446,Left,
20.41109,Right,
20.48113,Left,
20.64586,Right,
20.75009,Left,
20.88991,Right,
21.04646,Left,
21.18413,Right,
21.29054,Left,
21.40735,Right,
21.55887,Left,
22.28953,Right,
22.63388,Left,
23.42116,Right,
24.21718,Left,

time,foot
0,Left,
0.308497,Right,
0.5131418,Left,
0.7100324,Right,
1.019336,Left,
1.113927,Right,
1.19794,Left,
1.291343,Right,
1.336839,Left,
1.451208,Right,
1.499953,Left,
1.600893,Right,
1.641557,Left,
1.762819,Right,
1.82059,Left,
1.921041,Right,
1.983347,Left,
2.101814,Right,
2.149773,Left,
2.263175,Right,
2.313904,Left,
2.430568,Right,
2.488095,Left,
2.582354,Right,
2.667182,Left,
2.767362,Right,
2.840486,Left,
2.948007,Right,
3.003304,Left,
3.116733,Right,
3.336768,Left,
3.41657,Right,
3.513162,Left,
3.599343,Right,
3.690222,Left,
3.792797,Right,
3.875973,Left,
3.97325,Right,
4.069942,Left,
4.167634,Right,
4.49079,Left,
4.595187,Right,
4.668492,Left,
4.784593,Right,
4.862013,Left,
4.968723,Right,
5.230395,Left,
5.319875,Right,
5.384628,Left,
5.547272,Right,
5.56463,Left,
5.692889,Right,
5.766293,Left,
5.886338,Right,
5.973245,Left,
6.073152,Right,
6.450756,Left,
6.572397,Right,
6.665678,Left,
6.771522,Right,
6.88825,Left,
7.0117,Right,
7.093742,Left,
7.209729,Right,
7.302583,Left,
7.403045,Right,
7.482247,Left,
7.580464,Right,
7.892339,Left,
8.001698,Right,
8.481803,Left,
8.592651,Right,
8.680206,Left,
8.791023,Right,
8.864806,Left,
8.980429,Right,
9.049022,Left,
9.154346,Right,
9.257418,Left,
9.372008,Right,
9.45608,Left,
9.563348,Right,
9.654003,Left,
9.766579,Right,
9.893694,Left,
9.970369,Right,
10.08851,Left,
10.20482,Right,
10.27267,Left,
10.4238,Right,
10.50535,Left,
10.61703,Right,
10.74469,Left,
10.82611,Right,
11.18442,Left,
11.32795,Right,
11.40541,Left,
11.53186,Right,
11.64968,Left,
11.77874,Right,
11.87515,Left,
11.96646,Right,
12.16452,Left,
12.21295,Right,
12.33115,Left,
12.4552,Right,
12.55938,Left,
12.6664,Right,
12.78195,Left,
12.89931,Right,
13.01382,Left,
13.14088,Right,
13.24179,Left,
13.37294,Right,
13.45222,Left,
13.59328,Right,
13.68813,Left,
13.83103,Right,
13.91869,Left,
14.07059,Right,
14.16303,Left,
14.28209,Right,
14.39015,Left,
14.52358,Right,
14.64165,Left,
14.78958,Right,
14.87526,Left,
14.998,Right,
15.09819,Left,
15.22935,Right,
15.34035,Left,
15.45896,Right,
15.55266,Left,
15.67172,Right,
15.79219,Left,
15.97194,Right,
16.01818,Left,
16.15718,Right,
16.26134,Left,
16.38111,Right,
16.46972,Left,
16.65733,Right,
16.719,Left,
16.87436,Right,
16.9594,Left,
17.09647,Right,
17.19609,Left,
17.33591,Right,
17.40694,Left,
17.55372,Right,
17.64866,Left,
17.78347,Right,
17.87733,Left,
18.01889,Right,
18.07792,Left,
18.23206,Right,
18.32026,Left,
18.41211,Right,
18.51128,Left,
18.63525,Right,
18.76797,Left,
18.85782,Right,
18.98013,Left,
19.11298,Right,
19.19256,Left,
19.31893,Right,
19.41292,Left,
19.56087,Right,
19.64856,Left,
19.76904,Right,
19.86257,Left,
19.98602,Right,
20.08338,Left,
20.19333,Right,
20.32338,Left,
20.44124,Right,
20.55319,Left,
21.41091,Right,
22.03927,Left,
23.1266,Right,

time,foot
0,Left,
0.3508569,Right,
0.452404,Left,
0.5533519,Right,
0.645606,Left,
0.7380711,Right,
0.7720601,Left,
0.8932296,Right,
0.9440095,Left,
1.087088,Right,
1.172102,Left,
1.26399,Right,
1.371196,Left,
1.444834,Right,
1.522926,Left,
1.640924,Right,
1.704749,Left,
1.837495,Right,
1.885729,Left,
2.057641,Right,
2.10241,Left,
2.254682,Right,
2.303549,Left,
2.450491,Right,
2.548782,Left,
2.66346,Right,
2.717159,Left,
2.80651,Right,
2.917465,Left,
3.042521,Right,
3.107615,Left,
3.238709,Right,
3.277278,Left,
3.419194,Right,
3.518853,Left,
3.600898,Right,
3.716702,Left,
3.804474,Right,
3.902554,Left,
4.025426,Right,
4.117128,Left,
4.209565,Right,
4.304088,Left,
4.441247,Right,
4.535322,Left,
4.62295,Right,
4.713258,Left,
4.834071,Right,
4.919699,Left,
5.007708,Right,
5.10446,Left,
5.209716,Right,
5.297077,Left,
5.412323,Right,
5.486271,Left,
5.628464,Right,
5.724614,Left,
5.846881,Right,
5.943971,Left,
6.043451,Right,
6.177521,Left,
6.256982,Right,
6.34874,Left,
6.468705,Right,
6.552868,Left,
6.666634,Right,
6.759122,Left,
6.870874,Right,
6.974723,Left,
7.069146,Right,
7.173097,Left,
7.261643,Right,
7.390924,Left,
7.474532,Right,
7.609221,Left,
7.728011,Right,
7.825345,Left,
7.952424,Right,
8.087153,Left,
8.216395,Right,
8.267516,Left,
8.417555,Right,
8.516084,Left,
8.62073,Right,
8.7107,Left,
8.856672,Right,
8.949806,Left,
9.07413,Right,
9.177682,Left,
9.315243,Right,
9.390871,Left,
9.516927,Right,
9.64069,Left,
9.731748,Right,
9.866923,Left,
9.988333,Right,
10.06432,Left,
10.20167,Right,
10.28622,Left,
10.42717,Right,
10.55274,Left,
10.66883,Right,
10.766,Left,
10.88525,Right,
10.98037,Left,
11.14783,Right,
11.26078,Left,
11.36909,Right,
11.48248,Left,
11.59617,Right,
11.74691,Left,
11.85426,Right,
11.95321,Left,
12.06638,Right,
12.18782,Left,
12.31691,Right,
12.43181,Left,
12.56258,Right,
12.67414,Left,
12.77073,Right,
12.90879,Left,
13.00051,Right,
13.13475,Left,
13.29505,Right,
13.39978,Left,
13.51459,Right,
13.6155,Left,
13.75953,Right,
13.88418,Left,
14.00815,Right,
14.13351,Left,
14.23646,Right,
14.38548,Left,
14.51052,Right,
14.6155,Left,
14.76126,Right,
14.89631,Left,
15.00727,Right,
15.15242,Left,
15.27091,Right,
15.3848,Left,
15.50258,Right,
15.64237,Left,
15.77758,Right,
16.158,Left,
16.30022,Right,
16.43329,Left,
16.53372,Right,
16.69414,Left,
16.81657,Right,
16.95087,Left,
17.0779,Right,
17.18415,Left,
17.31563,Right,
17.44991,Left,
17.57639,Right,
17.68744,Left,
17.80155,Right,
17.93913,Left,
18.06899,Right,
18.18347,Left,
18.30676,Right,
18.46427,Left,
18.57537,Right,
18.68092,Left,
18.81726,Right,
18.91414,Left,
19.04977,Right,
19.16717,Left,
