time,foot
20.20567,Left,
20.74607,Right,
21.28649,Left,
21.84568,Right,
22.41049,Left,
22.98134,Right,
23.53269,Left,
24.08814,Right,
24.61254,Left,
25.17084,Right,
25.70375,Left,
26.25754,Right,
26.77217,Left,
27.34384,Right,
27.88394,Left,
28.45465,Right,
28.96328,Left,
29.51594,Right,
30.05113,Left,
30.63562,Right,
31.15273,Left,
31.70757,Right,
32.25211,Left,
32.79818,Right,
33.34214,Left,
33.8883,Right,
34.44787,Left,
35.01985,Right,
35.61087,Left,
36.11805,Right,
36.65766,Left,
37.1959,Right,
37.74718,Left,
38.326,Right,
38.87626,Left,
39.38846,Right,
39.97829,Left,
40.49827,Right,
41.03219,Left,
41.5494,Right,
42.06574,Left,
42.63525,Right,
43.25818,Left,
43.76911,Right,
44.29343,Left,
44.89407,Right,
45.41866,Left,
45.93872,Right,
46.50446,Left,
47.0439,Right,
47.61578,Left,
48.15215,Right,
48.69879,Left,
49.25627,Right,
49.77124,Left,
50.28712,Right,
50.82527,Left,
51.33063,Right,
51.86812,Left,
52.36859,Right,
52.9266,Left,
53.48525,Right,
54.0369,Left,
54.63274,Right,
55.18795,Left,
55.70889,Right,
56.29936,Left,
56.3353,Left,
56.818,Right,
57.32334,Left,
57.91064,Right,
58.45161,Left,

time,foot
1.067391,Left,
1.733722,Right,
2.398713,Left,
2.666667,Right,
3.033813,Left,
3.700878,Right,
4.367138,Left,
5.150275,Right,
6.067023,Left,
6.89959,Right,
8.132998,Left,
9.065913,Right,
10.6286,Left,
11.36453,Right,
11.89786,Left,
12.33154,Right,
12.8651,Left,
13.43109,Right,
13.8966,Left,
14.43099,Right,
14.96395,Left,
15.53145,Right,
16.0603,Left,
16.59461,Right,
17.13798,Left,
17.64999,Right,
18.17565,Left,
18.77732,Right,
19.33419,Left,
19.86959,Right,
20.37062,Left,
20.97802,Right,
21.44097,Left,
22.03322,Right,
22.54727,Left,
23.10363,Right,
23.62365,Left,
24.1811,Right,
24.69486,Left,
25.25138,Right,
25.80962,Left,
26.3107,Right,
26.7794,Left,
26.92035,Right,
27.39981,Right,
27.90483,Left,
28.50854,Right,
28.99566,Left,
29.59104,Right,
30.09662,Left,
30.69141,Right,
31.23402,Left,
31.78593,Right,
32.25715,Left,
32.84305,Right,
33.40013,Left,
33.96513,Right,
34.51706,Left,
35.02978,Right,
35.54414,Left,
36.16835,Right,
36.68582,Left,
37.21663,Right,
37.78639,Left,
38.33499,Right,
38.8456,Left,
39.43404,Right,
40.02206,Left,
40.57439,Right,
41.09447,Left,
41.63551,Right,
42.19435,Left,
42.71043,Right,
43.25221,Left,
43.76878,Right,
44.23981,Left,
44.78194,Right,
45.30913,Left,
45.88955,Right,
46.37633,Left,
46.90308,Right,
47.49819,Left,
48.05299,Right,
48.57192,Left,
49.15014,Right,
49.65173,Left,
50.2189,Right,
50.79369,Left,
51.37733,Right,
51.96416,Left,
52.50982,Right,
53.02894,Left,
53.56742,Right,
54.09032,Left,
54.70072,Right,
55.20185,Left,
55.79372,Right,
56.29633,Left,
56.88267,Right,
57.38327,Left,
57.9782,Right,
58.45476,Left,
59.03736,Right,
59.65311,Left,
60.22196,Right,
60.73956,Left,
61.27897,Right,

time,foot
1.433252,Left,
3.532744,Right,
4.366205,Left,
5.516538,Right,
6.94741,Left,
7.561977,Right,
8.598525,Right,
9.132278,Left,
9.6982,Right,
10.2982,Left,
10.86478,Right,
11.39773,Left,
11.93096,Right,
12.49583,Left,
13.04714,Right,
13.57742,Left,
14.14748,Right,
14.64676,Left,
15.41279,Right,
15.8115,Left,
16.44684,Right,
16.87959,Left,
17.54577,Right,
17.98491,Left,
18.53211,Right,
19.02401,Left,
19.58402,Right,
20.11047,Left,
20.64232,Right,
21.1864,Left,
21.8993,Right,
22.26936,Left,
22.90478,Right,
23.28761,Left,
24.45496,Left,
25.55023,Left,
26.25469,Left,
26.67065,Left,
28.81328,Left,
33.87315,Left,
35.44434,Left,
37.11131,Left,
38.40772,Left,
39.25748,Right,
39.7797,Left,
40.40175,Right,
40.83204,Left,
41.3696,Right,
41.88144,Left,
42.47846,Right,
42.98192,Left,
43.52565,Right,
44.06526,Left,
44.64606,Right,
45.15245,Left,
45.66387,Right,
46.1888,Left,
46.74347,Right,
47.39168,Left,
48.00029,Right,
48.47311,Left,
49.01762,Right,
49.55342,Left,
50.1293,Right,
50.62998,Left,
51.18391,Right,
51.85248,Left,
52.38544,Right,
52.90565,Left,
53.94037,Left,
54.6096,Right,
55.04418,Left,
56.09933,Left,
58.17485,Left,
58.69017,Right,
59.20486,Left,
59.69212,Right,
60.15425,Left,
60.68063,Right,
61.17307,Left,
61.71737,Right,
62.26265,Left,
62.8452,Right,
63.35992,Left,
63.89197,Right,
64.42808,Left,
64.99856,Right,
65.4536,Left,
65.96226,Right,
66.51344,Left,
67.05408,Right,
67.59181,Left,
68.10257,Right,
68.62296,Left,
69.19949,Right,
69.71135,Left,
70.25885,Right,
70.76164,Left,
71.33621,Right,
71.90894,Left,

time,foot
0.6664142,Right,
1.233267,Left,
1.799705,Right,
2.366236,Left,
2.86649,Right,
3.483398,Left,
4.000024,Right,
4.583666,Left,
5.116772,Right,
5.682426,Left,
6.199471,Right,
6.765851,Left,
7.265727,Right,
7.765635,Left,
8.265827,Right,
8.831954,Left,
9.397038,Right,
9.964827,Left,
10.49819,Right,
11.06454,Left,
11.58121,Right,
12.14757,Left,
